item_type,title,creators,first_name,last_name,ean_isbn13,upc_isbn10,description,publisher,publish_date,group,tags,notes,price,length,lexile,call_number,ddc,lcc,lccn,oclc,number_of_discs,number_of_players,age_group,ensemble,aspect_ratio,esrb,rating,review,review_date,status,began,completed,added,copies
book,"ABC a la moda","Simone Massoni",Simone,Massoni,9781338053517,1338053515,"""ABC a la moda enseña el abecedario en español usando palabras juguetonas, con estilo y frescura. Las hermosas ilustraciones de Simone Massoni, quien ha recibido la medalla de plata de la Society of Illustrators, inspirarán a los jóvenes lectores a aprender nuevas palabras y letras. El lenguaje y la moda son expresiones coloridas de quienes somos.""--Back cover.",,2017-01-01,,"chispas lectoras, libros ilustrados",,,,,,,,2018295582,1023028063,,,,,,,,,,,,,2019-05-22,2
book,"Biblia, Recuerdos y Esperanza","Tor Vargas Bretones",Tor,Bretones,9789875610842,9875610844,"No pretendo dar lecciones de Teología ni de Ascética, y mucho menos de Mística. Solo intento estimular la lectura de la Biblia y obtener mucho fruto de su estudio.","Libros en Red",2004-01-01,,religion,,,,,,,,,,,,,,,,,,,,,,2019-05-29,1
book,"Versión (Spanish Edition)","David  Huerta",David,Huerta,9789684116450,9684116454,,"Ediciones Era",2005-05-01,,poesía,,,80,,,861,PQ7298.18.U28,,912679057,,,,,,,,,,,,,2019-05-29,1
book,"El Mesias Historietas Manga  (Spanish Edition)",,,,9781414339603,1414339607,"Manga es la palabra japonesa para dibujo o historieta. Se ha convertido en un gran éxito mundial entre los adolescentes y jóvenes. Manga ha emergido como la categoría más popular de cómic o novela gráfica y es uno de los géneros de crecimiento más rápido entre las publicaciones estadounidenses. Atractiva para niños y adultos, los lectores encontrarán tanto absorbente como muy atrayente esta audaz interpretación de las historias de los Evangelios. Este estilo de arte auténtico y vanguardista se combina con el recuento vertiginoso para presentar las verdades bíblicas a una cultura siempre cambiante que a menudo es un reto poder penetrar. Manga is the Japanese word for comics. It has become a huge hit with teens and tweens worldwide. Manga has emerged as the most popular comics category and is one of the fastest growing genres in American publishing. Appealing to kids and adults, readers will find this edgy rendition of the Gospel accounts both compelling and highly engaging. This authentic, cutting-edge art style is combined with fast-paced storytelling to deliver biblical truths to an ever-changing culture that is often a challenge to penetrate.","Tyndale House Publishers, Inc.",2010-12-01,,religión,,,288,,,741.5952,PN6790.J33,2013497407,644694601,,,,,,,,,,,,,2019-05-29,1
book,"Un arbol crece en Brooklyn (Spanish Edition)","Betty Smith",Betty,Smith,9780307392473,0307392473,"Spanish edition of A Tree Grows In Brooklyn.","Random House Mondadori",2008-08-05,,novela,,,220,,,813.52,PS3537.M2895,2009291275,230211027,,,,,,,,,,,,,2019-05-29,1
book,"Velodromo de Invierno (Winter Velodrome)","Juana Salabert",Juana,Salabert,9788432210969,843221096X,"Este es un nuevo recordatorio para la memoria frágil de la Humanidad. Porque las atrocidades del Nazismo son aún recientes y porque las víctimas del genocidio siguen estando atentas a cualquier nuevo intento de brutalidad y locura social. En este libro se juega con la imaginación para lograr que su protagonista escape de la muerte. El relato comienza en París, durante la gran redada organizada por las fuerzas alemanas de ocupación y el gobierno colaboracionista de turno. Aquel día de Julio del año 1942 fueron detenidas más de 13.000 personas; todos con la estrella amarilla cosida a la ropa. Pero Ilse Landerman consiguió burlar la vigilancia militar para librarse de Auschwitz. Al menos así sucede en esta novela que transcurre en dos planos temporales; entrecruzando los recuerdos de una niña afortunada con los de una mujer exiliada, las dos sintiéndose culpables de haber logrado sobrevivir al exterminio.","Editorial Seix Barral",2001-01-01,,"novela histórica",,,272,,,891.8635,PQ6669.A535,2001447811,248611839,,,,,,,,,,,,,2019-05-29,1
book,"Tlapaleria (Spanish Edition)","Elena Poniatowska",Elena,Poniatowska,9789684115644,9684115644,"Book by Elena Poniatowska","Ediciones ERA",2003-01-01,,novela,,,112,,,863,PQ7297.P63,2003503598,52731312,,,,,,,,,,,,,2019-05-29,1
book,"Legado (Spanish Edition) (Inheritance Trilogy)","Christopher Paolini",Christopher,Paolini,9788499183541,8499183549,"No hace mucho tiempo, Eragon no era mas que un pobre chico de granja, y su dragona, Saphira, solo una piedra azul en el bosque. Ahora el destino de toda una civilizacion descansa sobre sus hombros. Largos meses de entrenamiento y combate han traido las victorias y la esperanza, pero tambien han traido la perdida desgarradora. Y aun asi, la verdadera batalla esta por venir: deben enfrentarse a Galbatorix. Cuando lo hagan, tendran que ser lo suficientemente fuerte como para derrotarlo. Y si ellos no pueden, nadie podra hacerlo. No habra una segunda oportunidad. El jinete y su dragon han llegado mas lejos de lo que nadie se atreveria a esperar. Pero, pueden derrocar al malvado rey y restaurar la justicia en Alagaesia? Y si es asi, a que costo? / The fate of a civilization rests on Eragon and Shapiras shoulders. They must confront Galbatorix. They will have to be strong enough to defeat him. And if they cannot, no one can. No second chances. The Rider and his dragon have come further than anyone dared to hope. But can they topple the evil king and restore justice to Alagaesia? And if so, at what cost?",Roca,2011-12-02,,"jóvenes lectores, novela juvenil",,,816,,,813.6,PZ7.P19535,,744302942,,,,,,,,,,,,,2019-05-29,1
book,"Contra Viento y Marea","Chuck Norris",Chuck,Norris,9780881138436,0881138436,"En su libro Contra viento y marea Chuck Norris provee informacion sobre su carrera, sus increibles exitos, como tambien sobre los fracasos que han formado su vida. Un cristiano devoto, Chuck Norris revela por primera vez, como su fe ha influenciado sus actitudes, decisiones de negocio y elecciones personales. La historia de Chuck Norris es una historia de compromiso y corage Contra viento y marea. Mantendra entretenidos, motivara e inspirara a lectores de todas las edades y diferentes trasfondos. Chuck tambien comparte sus pensamientos y sentimientos en cuanto a: El alcoholismo de su padre y los efectos del mismo sobre su familia. Como es posible superar la pobreza, los prejuicios sociales y una atmosfera infantil negativa. Su asistencia a una iglesia bautista cuando nino y como, aunque el se extravio lejos de la fe de su familia, Dios nunca lo abandono. El impacto en su vida temprana de la predicacion de Billy Graham.","Grupo Nelson",2004-10-01,,biografía,,,256,,,796.8092,GV1113.N67,,57662704,,,,,,,,,,,,,2019-05-29,1
book,"La Dama Azul","Javier Sierra",Javier,Sierra,9788427031654,8427031653,,"Editorial Planeta, S. A.",2005-05-30,,novela,,,348,,,863.7,PQ6719.I54,99227449,60805735,,,,,,,,,,,,,2019-05-29,1
